title,handle,status,description,subtitle,thumbnail,categories,type_id,collection_id,tags,variant_title,variant_sku,variant_price_amount,variant_price_currency,variant_price_region_id,variant_manage_inventory,variant_inventory_quantity,metadata_seo_title,metadata_seo_description
"Tige de culbuteur","tige-de-culbuteur-57183","published","Tige de culbuteur de qualité supérieure compatible avec Peugeot 404, 504 et 505. Garantit une distribution optimale du moteur avec une durabilité exceptionnelle et une précision d'usinage.","Compatible P.404/P.504/P.505","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1KNoTZAGy9CCUhal7DX3d_lfivi9WLHABlFYEib09RtNXBm8IMYZfY56neLo&s","/moteur-culasse-distribution","","","peugeot,404,504,505,culbuteur,distribution","Standard","57183","5748","mad","reg_01KCYBHF3PV0D5HHW1NM4RXBQ0","true","100","Tige de culbuteur Peugeot 404/504/505 - Pièces Auto","Tige de culbuteur de qualité pour Peugeot 404, 504 et 505. Stock disponible, livraison rapide."
"Tige de culbuteur","tige-de-culbuteur-57185","published","Tige de culbuteur de qualité supérieure compatible avec Peugeot 404, 504 et 505. Garantit une distribution optimale du moteur avec une durabilité exceptionnelle et une précision d'usinage.","Compatible P.404/P.504/P.505","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1KNoTZAGy9CCUhal7DX3d_lfivi9WLHABlFYEib09RtNXBm8IMYZfY56neLo&s","/moteur-culasse-distribution","","","peugeot,404,504,505,culbuteur,distribution","Standard","57185","4877","mad","reg_01KCYBHF3PV0D5HHW1NM4RXBQ0","true","100","Tige de culbuteur Peugeot 404/504/505 - Pièces Auto","Tige de culbuteur de qualité pour Peugeot 404, 504 et 505. Stock disponible, livraison rapide."
"Direction à crémaillère","direction-a-cremaillere-005-4114","published","Direction à crémaillère de haute qualité pour Peugeot J9 et Citroën C25. Assure une direction précise et sécurisée avec une durabilité exceptionnelle pour votre véhicule utilitaire.","Compatible P.J9/C.C25","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJLAtpHqyw5B8HOR6AAbaB7jMa7rylIVcONOCv_u9AApMLZOz0VWgrwuKMAwQ&s","/suspension-direction-cremailleres-direction","","","peugeot,j9,citroen,c25,direction,cremaillere","Standard","005.4114","156850","mad","reg_01KCYBHF3PV0D5HHW1NM4RXBQ0","true","100","Direction à crémaillère Peugeot J9 / Citroën C25 - Pièces Auto","Direction à crémaillère de qualité pour Peugeot J9 et Citroën C25. Installation facile, durabilité garantie."
"Nécessaire anti-bruit de direction","necessaire-anti-bruit-de-direction-006-4094","published","Nécessaire anti-bruit de direction pour Peugeot 205, 309 et 104. Réduit efficacement les bruits et vibrations du système de direction pour un confort de conduite amélioré.","Compatible P.205/P.309/P.104","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxCNz7UZmjfIKvvOhajjEXGPMUdhhQx1XkDOrW1-3OV4E_5LPSWu-2AJbJJQ&s","/suspension-direction-cremailleres-direction","","","peugeot,205,309,104,direction,anti-bruit","Standard","006.4094","2232","mad","reg_01KCYBHF3PV0D5HHW1NM4RXBQ0","true","100","Nécessaire anti-bruit direction Peugeot 205/309/104 - Pièces Auto","Kit anti-bruit pour direction Peugeot 205, 309 et 104. Réduit les vibrations efficacement."
"Vérin de direction assistée","verin-de-direction-assistee-011-4444","published","Vérin de direction assistée pour Peugeot 205, 206, 309 et Partner. Garantit une assistance de direction optimale pour une conduite souple et précise en toutes circonstances.","Compatible P.205/P.206/P.309/P.PARTNER","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIx_LwKXaAUZ1CrccgpBOoJzKX-nM7XRTpoq9lLDtZJiLNDrIxONRP4YdYSxw&s","/suspension-direction-cremailleres-direction","","","peugeot,205,206,309,partner,verin,direction","Standard","011.4444","128330","mad","reg_01KCYBHF3PV0D5HHW1NM4RXBQ0","true","100","Vérin direction assistée Peugeot 205/206/309/Partner - Pièces Auto","Vérin de direction assistée pour Peugeot. Assistance optimale, conduite souple garantie."
"Vérin de direction assistée","verin-de-direction-assistee-011-4654","published","Vérin de direction assistée pour Citroën Berlingo, ZX et Peugeot Partner. Composant essentiel pour maintenir l'assistance de direction et garantir un pilotage précis.","Compatible C.BERLINGO/C.ZX/P.PARTNER","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSn2a6w2kldnmd2kli3JPDYUxNBdlpA2ofWj6pMBAPxPlz67eL0eU7AREUXVbU&s","/suspension-direction-cremailleres-direction","","","citroen,berlingo,zx,peugeot,partner,verin","Standard","011.4654","131198","mad","reg_01KCYBHF3PV0D5HHW1NM4RXBQ0","true","100","Vérin direction Citroën Berlingo/ZX/Peugeot Partner - Pièces Auto","Vérin de direction assistée de qualité pour Citroën et Peugeot. Installation facile."
"Rotule de Direction","rotule-de-direction-018-4h44","published","Rotule de direction robuste pour Citroën Jumper, Fiat Ducato et Peugeot Boxer I-II. Assure une liaison fiable et durable du système de direction pour votre utilitaire.","Compatible C.JUMPER/FIAT DUCATO/PGT BOXER I-II","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfMG56wktjGenS3LQb8OdTWsbU5iRj6ftkfIZFi-2h6-7lxyiJEHe9PCWJW6Y&s","/suspension-direction-rotules","","","citroen,jumper,fiat,ducato,peugeot,boxer,rotule","Standard","018.4H44","14961","mad","reg_01KCYBHF3PV0D5HHW1NM4RXBQ0","true","100","Rotule de Direction Citroën Jumper/Fiat Ducato/Peugeot Boxer - Auto","Rotule de direction de qualité pour utilitaires. Fiabilité et durabilité garanties."
"Butée de suspension","butee-de-suspension-033-5235","published","Butée de suspension pour Peugeot 205, 306, 309, Citroën ZX, C15. Absorbe les chocs et assure le confort de conduite tout en protégeant les composants de la suspension.","Compatible PGT 205/PGT 306/309-CIT.ZX/C15","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCGS_eQrpkliVm-kjQXBzNRFIoU4PqIhJVJ41xXdHKMdRGNRxuwfKcLEEIKQ&s","/suspension-direction-supports-silentblocs","","","peugeot,205,306,309,citroen,zx,c15,butee","Standard","033.5235","4040","mad","reg_01KCYBHF3PV0D5HHW1NM4RXBQ0","true","100","Butée de suspension Peugeot 205/306/309 Citroën ZX - Pièces Auto","Butée de suspension compatible Peugeot et Citroën. Confort et protection garantis."
"Butée de suspension","butee-de-suspension-033-5275","published","Butée de suspension pour Peugeot 205, 309, 405. Pièce essentielle pour maintenir le confort et la stabilité de votre véhicule en absorbant les vibrations de la route.","Compatible P205/P309/P405","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_FFvRI2SlRPoVksJS3bXxznuuIlebJ9UmV09WEqQxMoNE-oGwg0GSUyp3QJY&s","/suspension-direction-supports-silentblocs","","","peugeot,205,309,405,butee,suspension","Standard","033.5275","5571","mad","reg_01KCYBHF3PV0D5HHW1NM4RXBQ0","true","100","Butée de suspension Peugeot 205/309/405 - Pièces Auto","Butée de suspension de qualité pour Peugeot 205, 309 et 405. Confort optimal."
"Butée de suspension","butee-de-suspension-033-5405","published","Butée de suspension pour Peugeot 406. Composant de haute qualité qui assure l'amortissement des chocs et préserve l'intégrité du système de suspension.","Compatible P.406","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmLIO0IYqdK3unvb03kZlF1PypLgZhcQrkCA2bwPT6ZQOjo4h1tQAErmW3Gw&s","/suspension-direction-supports-silentblocs","","","peugeot,406,butee,suspension","Standard","033.5405","17719","mad","reg_01KCYBHF3PV0D5HHW1NM4RXBQ0","true","100","Butée de suspension Peugeot 406 - Pièces Auto","Butée de suspension haute qualité pour Peugeot 406. Durabilité et performance."
"Butée de suspension","butee-de-suspension-033-5585","published","Butée de suspension pour Peugeot 206. Optimise le confort de conduite en absorbant efficacement les vibrations et protège les amortisseurs de votre véhicule.","Compatible P.206","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkGZzcka4asuqIYTeLXXTNeLV-q8YgXrjU3GbRoAYf1tbGqkkQz9lZJzqqeQ&s","/suspension-direction-supports-silentblocs","","","peugeot,206,butee,suspension","Standard","033.5585","9961","mad","reg_01KCYBHF3PV0D5HHW1NM4RXBQ0","true","100","Butée de suspension Peugeot 206 - Pièces Auto","Butée de suspension pour Peugeot 206. Confort et protection des amortisseurs."
